,,,,,,,,,
 ,,,,,,,,,
$144.08,Payment Received,PayPal Fee,Postage,Other Costs,,"Purchase Price
Offset",,MovieList Key,Flags
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
